Map,Player,ACS,Agent,Date,Result
Split,Scales,98,Viper,2026/1/27,Loss
Split,sword9,194,Fade,2026/1/27,Loss
Split,Erv,94,Omen,2026/1/27,Loss
Abyss,splash,216,Waylay,2026/1/29,Loss
Abyss,slowly,141,Yoru,2026/1/29,Loss
Abyss,Scales,227,Veto,2026/1/29,Loss
Abyss,sword9,106,Sova,2026/1/29,Loss
Abyss,Erv,242,Astra,2026/1/29,Loss
Breeze,splash,336,Jett,2026/1/29,Win
Breeze,slowly,216,Yoru,2026/1/29,Win
Breeze,Scales,258,Viper,2026/1/29,Win
Breeze,sword9,155,Sova,2026/1/29,Win
Breeze,Erv,133,Astra,2026/1/29,Win
Corrode,splash,245,Neon,2026/1/29,Loss
Corrode,slowly,178,Yoru,2026/1/29,Loss
Corrode,Scales,159,Viper,2026/1/29,Loss
Corrode,sword9,190,Fade,2026/1/29,Loss
Corrode,Erv,275,Omen,2026/1/29,Loss
Bind,splash,281,Raze,2026/1/29,Loss
Bind,slowly,156,Skye,2026/1/29,Loss
Bind,Scales,160,Viper,2026/1/29,Loss
Bind,sword9,103,Tejo,2026/1/29,Loss
Bind,Erv,215,Brimstone,2026/1/29,Loss
Bind,splash,240,Raze,2026/2/1,Win
Bind,slowly,263,Yoru,2026/2/1,Win
Bind,Scales,217,Viper,2026/2/1,Win
Bind,sword9,153,Fade,2026/2/1,Win
Bind,Erv,142,Brimstone,2026/2/1,Win
Pearl,splash,202,Neon,2026/2/1,Win
Pearl,slowly,279,Yoru,2026/2/1,Win
Pearl,Scales,300,Killjoy,2026/2/1,Win
Pearl,sword9,203,Sova,2026/2/1,Win
Pearl,Erv,232,Astra,2026/2/1,Win
Bind,splash,191,Raze,2026/2/2,Win
Bind,slowly,350,Yoru,2026/2/2,Win
Bind,Scales,197,Viper,2026/2/2,Win
Bind,sword9,132,Fade,2026/2/2,Win
Bind,Erv,204,Brimstone,2026/2/2,Win
Split,splash,200,Waylay,2026/2/2,Loss
Split,slowly,216,Yoru,2026/2/2,Loss
Split,Scales,117,Viper,2026/2/2,Loss
Split,sword9,152,Fade,2026/2/2,Loss
Split,Erv,143,Omen,2026/2/2,Loss
Corrode,splash,330,Neon,2026/2/2,Win
Corrode,slowly,409,Yoru,2026/2/2,Win
Corrode,Scales,196,Viper,2026/2/2,Win
Corrode,sword9,184,Fade,2026/2/2,Win
Corrode,Erv,137,Omen,2026/2/2,Win
Pearl,splash,170,Neon,2026/2/2,Loss
Pearl,slowly,313,Yoru,2026/2/2,Loss
Pearl,Scales,170,Killjoy,2026/2/2,Loss
Pearl,sword9,159,Sova,2026/2/2,Loss
Pearl,Erv,237,Astra,2026/2/2,Loss
Pearl,splash,234,Neon,2026/3/10,Loss
