  Date,ZETA,Map,Start,First Pistol,First Rounds,First Half WR,Second Pistol,Second Rounds,Second Half WR,Atk_PP_Success,Def_PP_Success,Atk 2nd,Def 2nd,Outcome
2026/3/17,ZETA,Breeze,Defence,0,4,0.33,1,9,0.75,83.33%,11.11%,WW,LL,Win
2026/3/19,ZETA,Breeze,Defence,0,3,0.25,1,7,0.58,60.00%,0.00%,WW,LL,Loss
2026/3/19,Wolves,Pearl,Defence,1,8,0.67,0,3,0.58,75.00%,42.86%,WW,LL,Loss
2026/3/21,ODG,Fracture,Attack,1,8,0.67,1,8,0.67,72.73%,71.43%,WW,WW,Win
2026/3/21,EDG,Pearl,Defence,0,2,0.17,0,7,0.58,70.00%,0.00%,LW,LL,Loss
2026/3/21,serious,Split,Defence,0,4,0.33,1,9,0.75,100.00%,11.11%,WW,LL,Win
2026/3/26,FANCY,Breeze,Defence,0,4,0.33,0,2,0.17,25.00%,20.00%,LL,LL,Loss
2026/3/26,DFM,Split,Defence,1,6,0.5,1,10,0.83,90.91%,16.67%,WW,WW,Win
2026/3/26,Sharper Esport,Split,Defence,0,3,0.25,1,8,0.67,77.78%,20.00%,WW,LL,Loss
2026/3/26,DRX,Breeze,Attack,0,4,0.33,0,9,0.75,50.00%,50.00%,LL,LL,Win
2026/3/26,EDG,Bind,Defence,0,5,0.42,1,6,0.5,71.43%,33.33%,WL,LW,Loss
2026/3/28,DFM,Fracture,Attack,0,8,0.67 ,0,8,0.67 ,80.00%,42.86%,LL,LW,Win
2026/3/28,UR,Haven,Attack,1,10,0.83 ,0,1,0.08 ,100.00%,0.00%,WW,LL,Loss
2026/3/28,NS,Bind,Attack,1,10,0.83 ,1,7,0.58 ,100.00%,0.00%,WW,WW,Win
,,,,,,,,,,,,,,
